epoch,batch,train_loss,val_loss
1,19,0.7215650677680969,0.709443619618049
2,9,0.7312517762184143,0.708958272750561
2,19,0.7185401320457458,0.708596830184643
3,9,0.7312237024307251,0.708126269854032
3,19,0.7287579774856567,0.7077743411064148
4,9,0.7088007926940918,0.7073036844913776
4,19,0.7161961793899536,0.7069343007527865
5,9,0.7038471102714539,0.7064442955530607
5,19,0.7088581919670105,0.7060702397273138
6,9,0.7070198059082031,0.7055754019663885
6,19,0.7132906913757324,0.7052042209185087
7,9,0.703319251537323,0.7047092547783484
7,19,0.7021005153656006,0.7043204032457792
8,9,0.7103227972984314,0.7038292380479666
8,19,0.7014265060424805,0.7034473785987267
9,9,0.7071692943572998,0.7029417936618512
9,19,0.7057650089263916,0.7025427726598886
10,9,0.7061014771461487,0.7020329328683707
10,19,0.6985498666763306,0.7016497667019184
11,9,0.7045035362243652,0.7011429850871747
11,19,0.7086586952209473,0.7007543444633484
12,9,0.7089659571647644,0.7002540230751038
12,19,0.7017384171485901,0.6998695822862478
13,9,0.7105374932289124,0.6993641073887165
13,19,0.7125656008720398,0.6989617852064279
14,9,0.7013370990753174,0.6984505699231074
14,19,0.7019240260124207,0.6980486053686875
15,9,0.7073132991790771,0.6975202743823712
15,19,0.7070542573928833,0.6971204143304092
16,9,0.7084382772445679,0.6966013128940876
16,19,0.7077856659889221,0.6962084953601544
17,9,0.7009865641593933,0.6956933599251968
17,19,0.6936114430427551,0.6952898960847121
18,9,0.6942504048347473,0.6947645453306345
18,19,0.7067521810531616,0.694354038972121
19,9,0.6963263750076294,0.693829201734983
19,19,0.6933886408805847,0.6934239864349365
20,9,0.6938635110855103,0.6928934133969821
20,19,0.6904502511024475,0.6924776205649743
21,9,0.6998624205589294,0.6919384415333087
21,19,0.7038452625274658,0.6915127405753503
22,9,0.7110247015953064,0.6909590180103595
22,19,0.7023996710777283,0.6905437891299908
23,9,0.6887754201889038,0.6899984295551593
23,19,0.6889207363128662,0.6895645673458393
24,9,0.6952664852142334,0.6890076582248394
24,19,0.6973360776901245,0.6885928832567655
25,9,0.6952212452888489,0.6880530485740075
25,19,0.6945327520370483,0.687632157252385
26,9,0.6906770467758179,0.6870706723286555
26,19,0.6938150525093079,0.68663968031223
27,9,0.7019340991973877,0.6860815194936899
27,19,0.6902220249176025,0.6856595782133249
28,9,0.6827320456504822,0.6850935404117291
28,19,0.6872887015342712,0.6846470466026893
29,9,0.6863577961921692,0.6840722973530109
29,19,0.6875443458557129,0.6836265600644625
30,9,0.6992099285125732,0.6830623287421006
30,19,0.6963828206062317,0.682625834758465
31,9,0.6992193460464478,0.6820661288041335
31,19,0.6991278529167175,0.6816407166994535
32,9,0.6868981719017029,0.6810853893940265
32,19,0.6928275227546692,0.6806462682210482
33,9,0.6811879277229309,0.6800571634219243
33,19,0.6832271814346313,0.6795883178710938
34,9,0.6861584782600403,0.6789966363173264
34,19,0.7001867294311523,0.6785570612320533
35,9,0.6795631051063538,0.6779678097138038
35,19,0.6841056942939758,0.6775112885695237
36,9,0.686168372631073,0.676912376513848
36,19,0.6874796152114868,0.6764563184518081
37,9,0.6952796578407288,0.6758575622852032
37,19,0.6867842674255371,0.6753877538901109
38,9,0.6820895075798035,0.674785526899191
38,19,0.6807880997657776,0.6743238889254056
39,9,0.6790801882743835,0.6737150366489704
39,19,0.6772882342338562,0.673239006445958
40,9,0.6777860522270203,0.6726230703867399
40,19,0.6760804653167725,0.672144156235915
41,9,0.6802408695220947,0.6715305126630343
41,19,0.7011550068855286,0.6710711121559143
42,9,0.6774845719337463,0.6704573172789353
42,19,0.6681635975837708,0.6699806910294753
43,9,0.6631893515586853,0.6693620590063242
43,19,0.6732017993927002,0.6688677485172565
44,9,0.6973684430122375,0.6682334771523109
44,19,0.6835957765579224,0.6677573231550363
45,9,0.6617528200149536,0.6671402316827041
45,19,0.6663822531700134,0.6666410381977375
46,9,0.6793357133865356,0.6660045477060171
46,19,0.6846350431442261,0.6655198564896216
47,9,0.6789079904556274,0.6648973272396967
47,19,0.6743102073669434,0.6644189449457022
48,9,0.6775619387626648,0.663792724792774
48,19,0.6761138439178467,0.6632910783474262
49,9,0.674794614315033,0.662651891891773
49,19,0.6769896745681763,0.6621740552095267
50,9,0.6736168265342712,0.661544877749223
50,19,0.6758061051368713,0.661052731367258
51,9,0.6681340932846069,0.6604055441342868
51,19,0.6764894127845764,0.6598960436307467
52,9,0.6793422102928162,0.6592405988619878
52,19,0.6851052641868591,0.6587540278067956
53,9,0.6765925884246826,0.6581001510986915
53,19,0.6583166122436523,0.6575858638836787
54,9,0.6649219989776611,0.6569272967485281
54,19,0.6742777228355408,0.6564088601332444
55,9,0.6656540632247925,0.6557431358557481
55,19,0.6773829460144043,0.6552381698901837
56,9,0.6520514488220215,0.6545596351990333
56,19,0.6503915786743164,0.6540329089531531
57,9,0.667095959186554,0.6533474968029902
57,19,0.6623173952102661,0.652827840584975
58,9,0.6701347231864929,0.6521442670088547
58,19,0.6625122427940369,0.6516394248375525
59,9,0.6615801453590393,0.6509731320234445
59,19,0.6599886417388916,0.6504589227529672
60,9,0.6571025848388672,0.6497892783238337
60,19,0.6557384133338928,0.6492747251804059
61,9,0.6763736009597778,0.6486192162220294
61,19,0.6653283834457397,0.6481104768239535
62,9,0.6662042737007141,0.6474570907079257
62,19,0.6879824995994568,0.6469539358065679
63,9,0.6606016755104065,0.6462966753886297
63,19,0.6592773795127869,0.6457785092867337
64,9,0.6466522812843323,0.6451038259726304
64,19,0.6560300588607788,0.6445736013925992
65,9,0.6548656225204468,0.6438839252178485
65,19,0.656399130821228,0.6433576116195092
66,9,0.6432273983955383,0.6426574541972234
66,19,0.63804030418396,0.6421209436196548
67,9,0.6464115977287292,0.6414165313427265
67,19,0.6522146463394165,0.6408731891558721
68,9,0.6637811064720154,0.640167392217196
68,19,0.6584194302558899,0.6396433665202215
69,9,0.6634093523025513,0.6389477069561298
69,19,0.6473149657249451,0.6384040529911335
70,9,0.6425290107727051,0.6376943588256836
70,19,0.6512246131896973,0.6371639875265268
71,9,0.653021514415741,0.636468415076916
71,19,0.6459223031997681,0.6359233030906091
72,9,0.6514912247657776,0.6352231364983779
72,19,0.6493299603462219,0.6346913392727191
73,9,0.6580542325973511,0.6340060875965998
