epoch,batch,train_loss,val_loss
0,9,1.259860873222351,1.4782446463902792
0,19,1.3810962438583374,1.4782432794570923
1,9,1.2403106689453125,1.4782403628031413
1,19,1.3604869842529297,1.4782385031382244
2,9,1.2337671518325806,1.478235697746277
2,19,1.3531558513641357,1.4782339096069337
3,9,1.2732751369476318,1.4782315810521445
3,19,1.3942046165466309,1.4782308101654054
4,9,1.2539058923721313,1.4782296180725099
4,19,1.3731766939163208,1.4782286087671916
5,9,1.233910083770752,1.4782264471054076
5,19,1.3529651165008545,1.4782241821289062
6,9,1.2470791339874268,1.4782213846842447
6,19,1.3670706748962402,1.4782194773356119
7,9,1.2399108409881592,1.478216250737508
7,19,1.3598802089691162,1.4782145261764525
8,9,1.2408612966537476,1.4782114664713542
8,19,1.359540343284607,1.4782097419102986
9,9,1.253765344619751,1.4782070636749267
9,19,1.3733460903167725,1.4782059828440348
10,9,1.2334684133529663,1.4782034715016683
10,19,1.3533598184585571,1.4782015641530355
11,9,1.246485710144043,1.478198528289795
11,19,1.366321325302124,1.4781969785690308
12,9,1.2401187419891357,1.4781941731770833
12,19,1.3598039150238037,1.4781925678253174
13,9,1.2397654056549072,1.4781894604365031
13,19,1.360510230064392,1.4781874815622966
14,9,1.2615597248077393,1.4781848589579265
14,19,1.3795232772827148,1.4781840324401856
15,9,1.246962308883667,1.47818284034729
15,19,1.3668938875198364,1.4781813462575277
16,9,1.2663655281066895,1.4781796137491863
16,19,1.3872382640838623,1.4781788349151612
17,9,1.2461949586868286,1.4781776507695517
17,19,1.3663078546524048,1.4781764507293702
18,9,1.2402385473251343,1.478173589706421
18,19,1.3593069314956665,1.4781719207763673
19,9,1.2404444217681885,1.4781691153844199
19,19,1.3603441715240479,1.4781668504079184
20,9,1.2534515857696533,1.4781641006469726
20,19,1.3737634420394897,1.478162368138631
21,9,1.2527053356170654,1.4781607071558633
21,19,1.372915506362915,1.4781598091125487
22,9,1.2470180988311768,1.478158140182495
22,19,1.3655855655670166,1.4781563440958658
23,9,1.2592766284942627,1.4781540711720784
23,19,1.3801469802856445,1.4781531810760498
24,9,1.2402966022491455,1.4781510988871256
24,19,1.3594422340393066,1.4781494140625
25,9,1.2654757499694824,1.478147276242574
25,19,1.3874714374542236,1.4781464417775472
26,9,1.2459869384765625,1.478144884109497
26,19,1.3665399551391602,1.4781434535980225
27,9,1.254843831062317,1.4781405925750732
27,19,1.3729312419891357,1.4781391620635986
28,9,1.2396889925003052,1.4781367778778076
28,19,1.3601653575897217,1.478135108947754
29,9,1.2403278350830078,1.4781321207682292
29,19,1.359786033630371,1.478130086263021
30,9,1.2341792583465576,1.4781275272369385
30,19,1.3521355390548706,1.4781255006790162
31,9,1.2344701290130615,1.4781226952870687
31,19,1.3527159690856934,1.4781208435694377
32,9,1.2270673513412476,1.4781177997589112
32,19,1.3461480140686035,1.478116019566854
33,9,1.260042428970337,1.4781129042307535
33,19,1.3811753988265991,1.4781121333440146
34,9,1.241422414779663,1.4781105200449625
34,19,1.3596289157867432,1.4781088511149088
35,9,1.2607245445251465,1.4781063477198282
35,19,1.3799543380737305,1.4781055688858031
36,9,1.2608301639556885,1.4781043767929076
36,19,1.380739450454712,1.4781035423278808
37,9,1.2271523475646973,1.4781015237172446
37,19,1.3457870483398438,1.478099250793457
38,9,1.240030288696289,1.4780958493550618
38,19,1.360530972480774,1.4780942916870117
39,9,1.2539429664611816,1.4780916055043538
39,19,1.372700810432434,1.4780905326207479
40,9,1.2533166408538818,1.4780889352162678
40,19,1.3730742931365967,1.478088092803955
41,9,1.2195298671722412,1.4780859470367431
41,19,1.3386330604553223,1.4780836741129557
42,9,1.2531602382659912,1.4780806382497151
42,19,1.3737118244171143,1.4780790249506632
43,9,1.2677335739135742,1.4780777136484782
43,19,1.3871201276779175,1.4780768712361654
44,9,1.2599730491638184,1.4780757347742717
44,19,1.379683256149292,1.4780750274658203
45,9,1.2256736755371094,1.4780729373296102
45,19,1.3458240032196045,1.4780710935592651
46,9,1.2273645401000977,1.4780675729115804
46,19,1.345665693283081,1.4780655384063721
47,9,1.2400002479553223,1.4780625661214193
47,19,1.3595809936523438,1.4780610084533692
48,9,1.2416768074035645,1.478058385848999
48,19,1.3591617345809937,1.4780561129252117
49,9,1.2405298948287964,1.4780532519022624
49,19,1.3591026067733765,1.478051233291626
50,9,1.280250072479248,1.4780494372049968
50,19,1.4013521671295166,1.4780487219492595
51,9,1.2683346271514893,1.478047768274943
51,19,1.38700270652771,1.4780470450719199
52,9,1.2675596475601196,1.4780458609263103
52,19,1.3875854015350342,1.478045145670573
53,9,1.2406177520751953,1.4780436515808106
53,19,1.3597668409347534,1.4780422846476238
54,9,1.2338533401489258,1.47803905804952
54,19,1.3522958755493164,1.4780372699101767
55,9,1.2334893941879272,1.4780338128407797
55,19,1.3527154922485352,1.478031539916992
56,9,1.266063928604126,1.478029155731201
56,19,1.386710286140442,1.4780284404754638
57,9,1.254624366760254,1.4780272483825683
57,19,1.3724780082702637,1.4780264695485432
58,9,1.2475314140319824,1.4780242602030436
58,19,1.3657896518707275,1.4780225912729898
59,9,1.2334628105163574,1.4780194918314615
59,19,1.352933645248413,1.4780178229014078
60,9,1.2533941268920898,1.478014834721883
60,19,1.3732004165649414,1.4780132214228312
61,9,1.2328388690948486,1.4780108372370402
61,19,1.3521370887756348,1.4780089219411214
62,9,1.2262096405029297,1.47800612449646
62,19,1.3459410667419434,1.4780040899912517
63,9,1.2463738918304443,1.478000569343567
63,19,1.36637282371521,1.4779986063639323
64,9,1.247985601425171,1.4779956261316936
64,19,1.3662371635437012,1.477993949254354
65,9,1.2471585273742676,1.4779913902282715
65,19,1.3670536279678345,1.4779897212982178
66,9,1.2604798078536987,1.4779876867930095
66,19,1.3806238174438477,1.4779869238535563
67,9,1.2332401275634766,1.4779851277669271
67,19,1.3521716594696045,1.4779834588368734
