file_name,mse_avg,mse_std,r2_avg,r2_std,mse,r2,best_model_filename,best_r2
Radiomic_Features_CaPTk_segm_FLAIR_ED.csv,176876.7359375,40193.37018079341,-0.13071153163909913,0.08026362422376916,"[126434.8203125, 138622.125, 214242.375, 228581.6875, 176502.671875]","[-0.08219444751739502, -0.15386831760406494, -0.13729584217071533, -0.2607259750366211, -0.01947307586669922]",best_linear_model_for_Radiomic_Features_CaPTk_segm_FLAIR_ED.csv.h5,-0.01947307586669922
Radiomic_Features_CaPTk_automaticsegm_DTI_FA_NC.csv,142700.8578125,24793.852300017006,-0.04875715970993042,0.07874441169641543,"[184113.6875, 145823.703125, 136928.90625, 106522.0859375, 140115.90625]","[-0.08337390422821045, -0.04180908203125, -0.1708085536956787, 0.06883591413497925, -0.016630172729492188]",best_linear_model_for_Radiomic_Features_CaPTk_automaticsegm_DTI_FA_NC.csv.h5,0.06883591413497925
Radiomic_Features_CaPTk_automaticsegm_T1GD_ET.csv,136539.4578125,20373.082958877545,-0.16506168842315674,0.03138893983024683,"[173562.453125, 111920.46875, 128122.0078125, 131406.4375, 137685.921875]","[-0.1311805248260498, -0.13792932033538818, -0.2183762788772583, -0.15968763828277588, -0.17813467979431152]",best_linear_model_for_Radiomic_Features_CaPTk_automaticsegm_T1GD_ET.csv.h5,-0.1311805248260498
Radiomic_Features_CaPTk_segm_DTI_TR_NC.csv,147337.815625,68430.73978893479,-0.5371405482292175,0.5915937364579146,"[91718.6015625, 120111.4296875, 281389.3125, 109523.5625, 133946.171875]","[-0.33707523345947266, -1.653482437133789, -0.42842984199523926, -0.38412749767303467, 0.117412269115448]",best_linear_model_for_Radiomic_Features_CaPTk_segm_DTI_TR_NC.csv.h5,0.117412269115448
Radiomic_Features_CaPTk_segm_FLAIR_NC.csv,170791.0859375,28736.8462881663,-0.04211256504058838,0.16407920078581265,"[146126.15625, 194102.1875, 180738.828125, 204186.171875, 128802.0859375]","[0.049359798431396484, -0.2598215341567993, 0.05058830976486206, -0.21201252937316895, 0.16132313013076782]",best_linear_model_for_Radiomic_Features_CaPTk_segm_FLAIR_NC.csv.h5,0.16132313013076782
Radiomic_Features_CaPTk_segm_DSC_ap-rCBV_NC.csv,230838.25625,41455.79487274857,-0.2608858227729797,0.1899863375592205,"[166207.0, 213221.6875, 283854.65625, 266279.375, 224628.5625]","[-0.2168956995010376, 0.012208163738250732, -0.5634373426437378, -0.1896805763244629, -0.34662365913391113]",best_linear_model_for_Radiomic_Features_CaPTk_segm_DSC_ap-rCBV_NC.csv.h5,0.012208163738250732
Radiomic_Features_CaPTk_automaticsegm_FLAIR_NC.csv,145441.921875,12687.170929872767,-0.05432990789413452,0.05505005142606328,"[166822.734375, 134015.15625, 143912.21875, 131761.734375, 150697.765625]","[0.04385298490524292, -0.09973788261413574, -0.08637893199920654, -0.09792578220367432, -0.031459927558898926]",best_linear_model_for_Radiomic_Features_CaPTk_automaticsegm_FLAIR_NC.csv.h5,0.04385298490524292
Radiomic_Features_CaPTk_automaticsegm_DSC_PSR_ED.csv,160117.5375,30713.229997827853,-0.056945419311523436,0.0625725552980386,"[170815.453125, 132052.609375, 167686.40625, 208081.3125, 121951.90625]","[-0.05580425262451172, -0.11249613761901855, 0.024204730987548828, -0.13940465450286865, -0.0012267827987670898]",best_linear_model_for_Radiomic_Features_CaPTk_automaticsegm_DSC_PSR_ED.csv.h5,0.024204730987548828
Radiomic_Features_CaPTk_automaticsegm_DSC_PSR_NC.csv,166222.246875,51990.208695206566,-0.09395804405212402,0.1460164572441369,"[181499.09375, 142313.34375, 153248.03125, 255473.28125, 98577.484375]","[0.01190483570098877, 0.033869028091430664, -0.12428629398345947, -0.3651374578475952, -0.026140332221984863]",best_linear_model_for_Radiomic_Features_CaPTk_automaticsegm_DSC_PSR_NC.csv.h5,0.033869028091430664
Radiomic_Features_CaPTk_segm_DSC_PSR_ED.csv,181121.35625,19791.712893026222,-0.21207275390625,0.08281149154884578,"[177428.75, 192673.765625, 149714.71875, 209445.640625, 176343.90625]","[-0.3108491897583008, -0.22654926776885986, -0.09196949005126953, -0.14523375034332275, -0.28576207160949707]",best_linear_model_for_Radiomic_Features_CaPTk_segm_DSC_PSR_ED.csv.h5,-0.09196949005126953
