file_name,mse_avg,mse_std,r2_avg,r2_std,mse,r2,best_r2
Radiomic_Features_CaPTk_segm_FLAIR_ED.csv,183505.14962277634,49872.71979767569,-0.15881262769070065,0.11155188844516119,"[115009.24869278599, 133699.67583727156, 240777.61391187285, 206216.78107738742, 221822.42859456388]","[0.015600591467079483, -0.11289467871418979, -0.2781567909139697, -0.13737396367213872, -0.28123829662028443]",0.015600591467079483
Radiomic_Features_CaPTk_automaticsegm_DTI_FA_NC.csv,156758.40198462416,25744.29278761934,-0.15340508916234832,0.051610380027352326,"[206081.8433903289, 155688.4497548535, 139832.90856521582, 133928.42897221234, 148260.37924051014]","[-0.21264026667130254, -0.11228568457624943, -0.1956391885057489, -0.1707368486424763, -0.07572345741596442]",-0.07572345741596442
Radiomic_Features_CaPTk_automaticsegm_T1GD_ET.csv,144663.83389541562,14271.294236679998,-0.24576428316297508,0.10508583712573902,"[171070.90890611632, 133729.78658344218, 140248.9509670317, 146907.46118783223, 131362.06183265575]","[-0.11494205696108373, -0.35967133486553715, -0.3336974229397267, -0.29648720227479775, -0.12402339877373003]",-0.11494205696108373
Radiomic_Features_CaPTk_segm_DTI_TR_NC.csv,135670.24550603834,46550.35906946623,-0.43158032862436124,0.4182734918084415,"[95275.36125096986, 90631.80356394831, 220056.67888556185, 141334.39177612087, 131052.9920535907]","[-0.3889258863307361, -1.0022234426454957, -0.1170843159744448, -0.786143713381886, 0.1364757152107564]",0.1364757152107564
Radiomic_Features_CaPTk_segm_FLAIR_NC.csv,179058.00038203786,24923.40963531432,-0.09416733935273491,0.15047043729685453,"[155016.40421121547, 212600.71710770542, 196068.64844242597, 185320.95905346193, 146283.27309538051]","[-0.008476650131830521, -0.37988636818861665, -0.02993854274984664, -0.1000320870590421, 0.047496951365661344]",0.047496951365661344
Radiomic_Features_CaPTk_segm_DSC_ap-rCBV_NC.csv,230692.5971861886,26769.02041880983,-0.2702600981883585,0.17218273375525772,"[183150.44830721646, 227833.7120344775, 265042.4207723174, 240412.61496248047, 237023.7898544512]","[-0.3409483597682892, -0.05548504511126273, -0.4598219750538035, -0.07411318665072852, -0.42093192435770854]",-0.05548504511126273
Radiomic_Features_CaPTk_automaticsegm_FLAIR_NC.csv,141954.10198874754,17901.753144822753,-0.02746444804377337,0.09861183859751026,"[157966.25747314002, 117384.75735615438, 158805.91853816333, 123247.63538555491, 152365.9411907251]","[0.09461393217566971, 0.03673235330534608, -0.1988100233825414, -0.026980648193870582, -0.04287785412347067]",0.09461393217566971
Radiomic_Features_CaPTk_automaticsegm_DSC_PSR_ED.csv,154276.0630147296,27053.540862888953,-0.02233242188838669,0.0678271379626973,"[160346.3170516418, 120200.7501017659, 157527.519986943, 199398.49768980299, 133907.23024349424]","[0.008905348022634763, -0.012648680177592464, 0.08332100073873805, -0.09185965559908182, -0.09938012242663197]",0.08332100073873805
Radiomic_Features_CaPTk_automaticsegm_DSC_PSR_NC.csv,163211.06417388498,36993.601622971975,-0.09223170371685832,0.07853992369542281,"[200263.1455903212, 141472.91749159817, 146741.82170775108, 212395.94863028856, 115181.48744946589]","[-0.0902482729160834, 0.03957449133832236, -0.07655434375672132, -0.1349509694910609, -0.19897942375874833]",0.03957449133832236
Radiomic_Features_CaPTk_segm_DSC_PSR_ED.csv,173287.3647006409,20674.316294312364,-0.15851448298775953,0.08163190692566062,"[170620.37818637316, 193785.41372440106, 159464.06189501757, 198767.47265033968, 143799.4970470731]","[-0.2605486620099511, -0.23362591703002922, -0.16307792315384795, -0.08684621356166677, -0.04847369918330258]",-0.04847369918330258
Radiomic_Features_CaPTk_automaticsegm_DTI_FA_ET.csv,160133.7493153875,30211.205999664886,-0.08947189685193772,0.07644691921146236,"[204383.99084444065, 159179.35366781586, 111718.22556631475, 151571.05250619014, 173816.12399217623]","[-0.03209309691025575, -0.09571939124831808, -0.027265178427218872, -0.057832161366065504, -0.23444965630783043]",-0.027265178427218872
Radiomic_Features_CaPTk_automaticsegm_T2_ET.csv,126813.36603033748,13918.531369347433,-0.09093229490955221,0.09593997483423664,"[152638.49563641622, 124753.89919899678, 113868.5322475661, 115430.72569731847, 127375.17737138976]","[0.005189839789138118, -0.2684107631304835, -0.0828328266655427, -0.01869882854024385, -0.08990889600062912]",0.005189839789138118
Radiomic_Features_CaPTk_segm_DTI_TR_ET.csv,151330.8370259378,34364.505622784294,-0.7132286580627116,1.5006681189100624,"[138279.05920535405, 102569.34529107343, 208395.6518894834, 160372.04444586113, 147038.08429791706]","[-3.707085089765375, 0.1317134377393946, -0.017576118644480054, -0.1332319245017457, 0.16003640485864767]",0.16003640485864767
Radiomic_Features_CaPTk_automaticsegm_DSC_PSR_ET.csv,183866.13579432323,71603.39205306744,-0.15963232520445922,0.09833325890196906,"[262364.8518440544, 123070.09844625331, 123320.16522702058, 280098.9901385953, 130476.57331569251]","[-0.10102341911745016, -0.11906892111904055, -0.3557686667104447, -0.10421203662162126, -0.11808858245373943]",-0.10102341911745016
Radiomic_Features_CaPTk_automaticsegm_DSC_ap-rCBV_ED.csv,170048.86745902093,21178.58739565725,-0.09872830815335634,0.08950785953518334,"[162688.98362206612, 161161.77162764914, 178923.13926006647, 205386.31416464204, 142084.12862068092]","[-0.1823791496231948, -0.007867358562391846, -0.0941305971451405, 0.0065304061958945114, -0.21579484163194906]",0.0065304061958945114
Radiomic_Features_CaPTk_segm_T2_ET.csv,171257.59822595998,28858.631363438806,-0.1240761993152967,0.23817362493177172,"[114750.55068902101, 191005.0709739316, 174948.43191065785, 191009.17619927565, 184574.76135691386]","[0.017814866969175225, -0.589895605678475, 0.07129436714078519, -0.05349750246558571, -0.0660971225423832]",0.07129436714078519
Radiomic_Features_CaPTk_automaticsegm_DSC_ap-rCBV_ET.csv,180641.8150801117,71504.8572285869,-0.13764361675493214,0.12078742543625805,"[244327.12285833605, 108541.1655345228, 117290.31170235065, 286245.20585919084, 146805.26944615814]","[-0.025327448786889084, 0.013041782324019535, -0.2894771039433055, -0.1284417754542979, -0.2580135379141877]",0.013041782324019535
Radiomic_Features_CaPTk_segm_T1_ED.csv,173573.47546252768,41265.41985556271,-0.10655785285840794,0.08395654042936528,"[116744.44620132865, 139645.2178821872, 228181.6005211821, 207429.07151217473, 175867.04119576575]","[0.0007485041739959675, -0.16238441803047254, -0.21129143830836017, -0.14406026519295634, -0.01580164693424657]",0.0007485041739959675
Radiomic_Features_CaPTk_segm_DSC_ap-rCBV_ET.csv,167272.90068443195,35575.05011824599,-0.10854545863897273,0.14959412916723624,"[166402.03627912508, 181755.10117234063, 112201.25264076795, 221357.69102508354, 154648.42230484265]","[-0.2293834207673504, -0.15704169395068046, 0.18164131563011443, -0.21036789936240208, -0.12757559474454516]",0.18164131563011443
Radiomic_Features_CaPTk_automaticsegm_DSC_PH_ED.csv,162125.22780294847,25157.937632890917,-0.07685374806892156,0.07037096684759704,"[189495.06890418325, 126791.90081430566, 169292.2111401248, 186138.8773744865, 138908.08078164206]","[-0.1712620085095704, -0.06817678681797634, 0.014860294229739446, -0.01925306809420313, -0.14043717115259735]",0.014860294229739446
Radiomic_Features_CaPTk_automaticsegm_DTI_TR_ED.csv,166633.80648313672,27229.56054447067,-0.13526667304389037,0.08419885016646543,"[192810.31217985137, 205588.66547176207, 142725.5676232553, 139569.43754824888, 152475.04959256598]","[-0.0539049164805665, -0.05846613290727287, -0.24352418309352375, -0.08963492826785391, -0.23080320447023484]",-0.0539049164805665
